isim,cinsiyet,yas,boy,kilo,takim,uok,yil,sezon,sehir,spor,etkinlik,madalya
Edgar Lindenau Aabye,M,34.0,182.48,95.61538461538461,Denmark/Sweden,DEN,1900,Summer,Paris,Tug-Of-War,Tug-Of-War Men's Tug-Of-War,Gold
Arvo Ossian Aaltonen,M,30.0,182.00843170320405,76.69405594405595,Finland,FIN,1920,Summer,Antwerpen,Swimming,Swimming Men's 200 metres Breaststroke,Bronze
Arvo Ossian Aaltonen,M,30.0,177.0,75.0,Finland,FIN,1920,Summer,Antwerpen,Swimming,Swimming Men's 400 metres Breaststroke,Bronze
Juhamatti Tapio Aaltonen,M,28.0,184.0,85.0,Finland,FIN,2014,Winter,Sochi,Ice Hockey,Ice Hockey Men's Ice Hockey,Bronze
Paavo Johannes Aaltonen,M,28.0,175.0,64.0,Finland,FIN,1948,Summer,London,Gymnastics,Gymnastics Men's Individual All-Around,Bronze
Paavo Johannes Aaltonen,M,28.0,175.0,64.0,Finland,FIN,1948,Summer,London,Gymnastics,Gymnastics Men's Team All-Around,Gold
Paavo Johannes Aaltonen,M,28.0,175.0,64.0,Finland,FIN,1948,Summer,London,Gymnastics,Gymnastics Men's Horse Vault,Gold
Paavo Johannes Aaltonen,M,28.0,175.0,64.0,Finland,FIN,1948,Summer,London,Gymnastics,Gymnastics Men's Pommelled Horse,Gold
Paavo Johannes Aaltonen,M,32.0,175.0,64.0,Finland,FIN,1952,Summer,Helsinki,Gymnastics,Gymnastics Men's Team All-Around,Bronze
Kjetil Andr Aamodt,M,20.0,176.0,85.0,Norway,NOR,1992,Winter,Albertville,Alpine Skiing,Alpine Skiing Men's Super G,Gold
Kjetil Andr Aamodt,M,20.0,176.0,85.0,Norway,NOR,1992,Winter,Albertville,Alpine Skiing,Alpine Skiing Men's Giant Slalom,Bronze
Kjetil Andr Aamodt,M,22.0,176.0,85.0,Norway,NOR,1994,Winter,Lillehammer,Alpine Skiing,Alpine Skiing Men's Downhill,Silver
Kjetil Andr Aamodt,M,22.0,176.0,85.0,Norway,NOR,1994,Winter,Lillehammer,Alpine Skiing,Alpine Skiing Men's Super G,Bronze
Kjetil Andr Aamodt,M,22.0,176.0,85.0,Norway,NOR,1994,Winter,Lillehammer,Alpine Skiing,Alpine Skiing Men's Combined,Silver
Kjetil Andr Aamodt,M,30.0,176.0,85.0,Norway,NOR,2002,Winter,Salt Lake City,Alpine Skiing,Alpine Skiing Men's Super G,Gold
Kjetil Andr Aamodt,M,30.0,176.0,85.0,Norway,NOR,2002,Winter,Salt Lake City,Alpine Skiing,Alpine Skiing Men's Combined,Gold
Kjetil Andr Aamodt,M,34.0,176.0,85.0,Norway,NOR,2006,Winter,Torino,Alpine Skiing,Alpine Skiing Men's Super G,Gold
Ragnhild Margrethe Aamodt,F,27.0,163.0,68.87685113016367,Norway,NOR,2008,Summer,Beijing,Handball,Handball Women's Handball,Gold
Alf Lied Aanning,M,24.0,175.33896987366376,70.70239290053351,Norway,NOR,1920,Summer,Antwerpen,Gymnastics,"Gymnastics Men's Team All-Around, Free System",Silver
Willemien Aardenburg,F,22.0,166.1252669039146,60.53093525179856,Netherlands,NED,1988,Summer,Seoul,Hockey,Hockey Women's Hockey,Bronze
Pepijn Aardewijn,M,26.0,189.0,72.0,Netherlands,NED,1996,Summer,Atlanta,Rowing,Rowing Men's Lightweight Double Sculls,Silver
Ann Kristin Aarnes,F,23.0,182.0,64.0,Norway,NOR,1996,Summer,Atlanta,Football,Football Women's Football,Bronze
Karl Jan Aas,M,20.0,175.33896987366376,70.70239290053351,Norway,NOR,1920,Summer,Antwerpen,Gymnastics,"Gymnastics Men's Team All-Around, Free System",Silver
Roald Edgar Aas,M,23.0,179.0576,75.99420529801324,Norway,NOR,1952,Winter,Oslo,Speed Skating,"Speed Skating Men's 1,500 metres",Bronze
Roald Edgar Aas,M,31.0,179.0576,75.99420529801324,Norway,NOR,1960,Winter,Squaw Valley,Speed Skating,"Speed Skating Men's 1,500 metres",Gold
Thomas Valentin Aas,M,25.0,179.84615384615384,81.66666666666667,Taifun,NOR,1912,Summer,Stockholm,Sailing,Sailing Mixed 8 metres,Gold
Ren Abadie,M,21.0,173.9672131147541,71.5,France,FRA,1956,Summer,Melbourne,Cycling,"Cycling Men's Road Race, Team",Gold
Giovanni Abagnale,M,21.0,198.0,90.0,Italy,ITA,2016,Summer,Rio de Janeiro,Rowing,Rowing Men's Coxless Pairs,Bronze
Jos Luis Abajo Gmez,M,30.0,194.0,87.0,Spain,ESP,2008,Summer,Beijing,Fencing,"Fencing Men's epee, Individual",Bronze
Patimat Abakarova,F,21.0,165.0,49.0,Azerbaijan,AZE,2016,Summer,Rio de Janeiro,Taekwondo,Taekwondo Women's Flyweight,Bronze
Mariya Vasilyevna Abakumova (-Tarabina),F,22.0,179.0,80.0,Russia,RUS,2008,Summer,Beijing,Athletics,Athletics Women's Javelin Throw,Silver
Aleksey Aleksandrovich Abalmasov,M,28.0,180.0,83.0,Belarus,BLR,2008,Summer,Beijing,Canoeing,"Canoeing Men's Kayak Fours, 1,000 metres",Gold
Luc Abalo,M,23.0,182.0,86.0,France,FRA,2008,Summer,Beijing,Handball,Handball Men's Handball,Gold
Luc Abalo,M,27.0,182.0,86.0,France,FRA,2012,Summer,London,Handball,Handball Men's Handball,Gold
Luc Abalo,M,31.0,182.0,86.0,France,FRA,2016,Summer,Rio de Janeiro,Handball,Handball Men's Handball,Silver
Jouan Patrice Abanda Etong,M,22.0,185.0,82.0,Cameroon,CMR,2000,Summer,Sydney,Football,Football Men's Football,Gold
Jos Mara Abarca Plotas,M,22.0,186.0,83.0,Spain,ESP,1996,Summer,Atlanta,Water Polo,Water Polo Men's Water Polo,Gold
Stephen Anthony Abas,M,26.0,165.0,55.0,United States,USA,2004,Summer,Athina,Wrestling,"Wrestling Men's Featherweight, Freestyle",Silver
Alejandro Abascal Garca,M,28.0,181.0,82.0,Spain,ESP,1980,Summer,Moskva,Sailing,Sailing Mixed Two Person Heavyweight Dinghy,Gold
Jos Manuel Abascal Gmez,M,26.0,182.0,67.0,Spain,ESP,1984,Summer,Los Angeles,Athletics,"Athletics Men's 1,500 metres",Bronze
Tamila Rashidovna Abasova,F,21.0,163.0,60.0,Russia,RUS,2004,Summer,Athina,Cycling,Cycling Women's Sprint,Silver
Jol Marc Abati,M,38.0,190.0,85.0,France,FRA,2008,Summer,Beijing,Handball,Handball Men's Handball,Gold
Pter Abay,M,30.0,181.0,79.0,Hungary,HUN,1992,Summer,Barcelona,Fencing,"Fencing Men's Sabre, Team",Silver
Oszkr Abay-Nemes,M,22.0,185.22486288848262,78.87200383509108,Hungary,HUN,1936,Summer,Berlin,Swimming,Swimming Men's 4 x 200 metres Freestyle Relay,Bronze
Silvano Abba,M,25.0,179.30901287553647,72.31594634873323,Italy,ITA,1936,Summer,Berlin,Modern Pentathlon,Modern Pentathlon Men's Individual,Bronze
Agostino Abbagnale,M,22.0,188.0,96.0,Italy,ITA,1988,Summer,Seoul,Rowing,Rowing Men's Quadruple Sculls,Gold
Agostino Abbagnale,M,29.0,188.0,96.0,Italy,ITA,1996,Summer,Atlanta,Rowing,Rowing Men's Double Sculls,Gold
Agostino Abbagnale,M,34.0,188.0,96.0,Italy,ITA,2000,Summer,Sydney,Rowing,Rowing Men's Quadruple Sculls,Gold
Carmine Abbagnale,M,22.0,182.0,90.0,Italy,ITA,1984,Summer,Los Angeles,Rowing,Rowing Men's Coxed Pairs,Gold
Carmine Abbagnale,M,26.0,182.0,90.0,Italy,ITA,1988,Summer,Seoul,Rowing,Rowing Men's Coxed Pairs,Gold
Carmine Abbagnale,M,30.0,182.0,90.0,Italy,ITA,1992,Summer,Barcelona,Rowing,Rowing Men's Coxed Pairs,Silver
Giuseppe Abbagnale,M,25.0,187.0,97.0,Italy,ITA,1984,Summer,Los Angeles,Rowing,Rowing Men's Coxed Pairs,Gold
Giuseppe Abbagnale,M,29.0,187.0,97.0,Italy,ITA,1988,Summer,Seoul,Rowing,Rowing Men's Coxed Pairs,Gold
Giuseppe Abbagnale,M,33.0,187.0,97.0,Italy,ITA,1992,Summer,Barcelona,Rowing,Rowing Men's Coxed Pairs,Silver
